1001,18,101,2023-09-01,2.5,Singapore
1002,28,101,2023-09-02,1.8,London
1003,3,102,2023-09-03,1.2,Singapore
1004,17,102,2023-09-04,3.0,London
1005,8,109,2023-09-05,0.5,Paris
1006,7,103,2023-09-06,2.0,London
1007,2,103,2023-09-07,1.5,New York
1008,14,104,2023-09-08,0.8,Singapore
1009,31,104,2023-09-09,1.1,Paris
1010,16,104,2023-09-10,2.2,London
1011,11,111,2023-09-11,2.7,London
1012,13,110,2023-09-12,1.9,Singapore
1013,21,112,2023-09-13,0.6,Paris
1014,24,112,2023-09-14,1.3,London
1015,23,113,2023-09-15,2.4,New York
1016,1,104,2023-09-16,0.7,Singapore
1017,5,114,2023-09-17,1.0,Paris
1018,32,111,2023-09-18,1.6,London
1019,22,115,2023-09-19,2.9,New York
1020,12,113,2023-09-20,1.4,Singapore
1021,25,114,2023-09-21,2.3,London
1022,4,116,2023-09-22,1.1,Sydney
1023,30,116,2023-09-23,3.5,San Francisco
1024,20,112,2023-09-24,0.9,Berlin
1025,9,108,2023-09-25,2.0,Toronto
1026,26,116,2023-09-26,1.4,Madrid
1027,29,104,2023-09-27,0.7,London
1028,6,109,2023-09-28,1.8,London
1029,10,110,2023-09-29,2.2,Mumbai
1030,27,108,2023-09-30,1.9,London
1031,19,101,2023-10-01,2.5,Singapore
1032,15,101,2023-10-02,1.8,London
1033,16,102,2023-10-03,1.2,Singapore
1034,1,102,2023-10-04,3.0,London
1035,11,109,2023-10-05,0.5,Paris
1036,3,103,2023-10-06,2.0,London
1037,4,103,2023-10-07,1.5,New York
1038,12,104,2023-10-08,0.8,Singapore
1039,13,104,2023-10-09,1.1,Paris
1040,31,104,2023-10-10,2.2,London
1041,7,111,2023-10-11,2.7,London
1042,8,110,2023-10-12,1.9,Singapore
1043,18,112,2023-10-13,0.6,Paris
1044,17,112,2023-10-14,1.3,London
1045,22,113,2023-10-15,2.4,New York
1046,5,104,2023-10-16,0.7,Singapore
1047,26,114,2023-10-17,1.0,Paris
1048,27,111,2023-10-18,1.6,London
1049,9,115,2023-10-19,2.9,New York
1050,30,113,2023-10-20,1.4,Singapore
1051,18,101,2023-09-01,2.5,Singapore
1052,5,101,2023-09-02,1.8,London
1053,32,102,2023-09-03,1.2,Singapore
1054,13,102,2023-09-04,3.0,London
1055,27,109,2023-09-05,0.5,Paris
1056,8,103,2023-09-06,2.0,London
1057,21,103,2023-09-07,1.5,New York
1058,4,104,2023-09-08,0.8,Singapore
1059,26,104,2023-09-09,1.1,Paris
1060,20,104,2023-09-10,2.2,London
1061,9,111,2023-09-11,2.7,London
1062,22,110,2023-09-12,1.9,Singapore
1063,11,112,2023-09-13,0.6,Paris
1064,30,112,2023-09-14,1.3,London
1065,25,113,2023-09-15,2.4,New York
1066,7,104,2023-09-16,0.7,Singapore
1067,19,114,2023-09-17,1.0,Paris
1068,1,111,2023-09-18,1.6,London
1069,23,115,2023-09-19,2.9,New York
1070,6,113,2023-09-20,1.4,Singapore
1071,14,114,2023-09-21,2.3,London
1072,28,116,2023-09-22,1.1,Sydney
1073,31,116,2023-09-23,3.5,San Francisco
1074,3,112,2023-09-24,0.9,Berlin
1075,10,108,2023-09-25,2.0,Toronto
1076,2,116,2023-09-26,1.4,Madrid
1077,16,104,2023-09-27,0.7,London
1078,15,109,2023-09-28,1.8,London
1079,17,110,2023-09-29,2.2,Mumbai
1080,24,108,2023-09-30,1.9,London
1081,12,101,2023-10-01,2.5,Singapore
1082,29,101,2023-10-02,1.8,London
1083,2,102,2023-10-03,1.2,Singapore
1084,8,102,2023-10-04,3.0,London
1085,13,109,2023-10-05,0.5,Paris
1086,23,103,2023-10-06,2.0,London
1087,31,103,2023-10-07,1.5,New York
1088,11,104,2023-10-08,0.8,Singapore
1089,19,104,2023-10-09,1.1,Paris
1090,28,104,2023-10-10,2.2,London
1091,9,111,2023-10-11,2.7,London
1092,22,110,2023-10-12,1.9,Singapore
1093,21,112,2023-10-13,0.6,Paris
1094,7,112,2023-10-14,1.3,London
1095,6,113,2023-10-15,2.4,New York
1096,14,104,2023-10-16,0.7,Singapore
1097,16,114,2023-10-17,1.0,Paris
1098,15,111,2023-10-18,1.6,London
1099,4,115,2023-10-19,2.9,New York
1100,24,113,2023-10-20,1.4,Singapore
